flight_id,aircraft_type,aircraft_age,operational_hours,days_since_maintenance,maintenance_count,airline,origin,destination,distance,flight_duration,weather_condition,weather_severity,engine_temperature,oil_pressure,vibration_level,fuel_consumption,hydraulic_pressure,cabin_pressure,previous_delays,crew_experience,equipment_failure,flight_cancelled
FL13841,Boeing 777,17,5411,51,20,AirGlobal,ORD,SFO,1846,3.71,Clear,1,319.21,39.71,9.0,2697.44,2917.23,11.07,3,24.52,0,0
FL13842,Boeing 737,1,39819,472,47,Continental Express,DFW,SEA,1660,3.46,Clear,1,335.13,19.73,25.56,2419.6,2918.04,11.25,9,18.5,0,0
FL13843,Boeing 777,6,34757,289,7,Continental Express,DCA,SAN,2279,4.39,Clear,1,340.0,23.58,18.44,2029.17,2945.59,10.65,4,19.63,0,0
FL13844,Boeing 777,16,18027,251,25,SkyConnect,JFK,LAX,2475,4.71,Clear,1,325.64,33.65,14.33,2753.66,2917.88,10.57,2,12.66,0,0
FL13845,Boeing 737,13,45608,159,49,AirGlobal,DFW,SEA,1660,3.58,Clear,1,325.46,33.06,20.87,1812.51,3060.37,11.09,3,23.99,0,0
FL13846,Boeing 787,10,12701,137,29,PacificWings,IAH,MCO,848,1.49,Cloudy,2,315.9,41.43,13.68,770.48,2870.2,10.61,5,13.85,0,0
FL13847,Boeing 737,9,30485,225,6,PacificWings,DCA,SAN,2279,4.37,Cloudy,2,327.13,25.65,23.28,2699.28,3084.3,10.97,5,6.64,0,0
FL13848,Boeing 737,0,25525,45,14,Continental Express,IAH,MCO,848,1.75,Cloudy,2,312.69,37.94,8.89,717.5,2857.34,10.8,9,24.13,0,0
FL13849,Airbus A320,4,44466,388,12,Continental Express,IAH,MCO,848,1.61,Clear,1,334.41,28.42,26.24,1149.78,3079.71,10.63,3,7.23,1,1
FL13850,Boeing 787,10,47801,375,13,SkyConnect,ORD,SFO,1846,3.58,Cloudy,2,340.0,21.47,22.85,2433.98,2875.28,11.08,1,6.88,0,0
FL13851,Airbus A350,2,39235,362,10,AirGlobal,LAS,PHX,256,0.62,Rainy,3,336.42,30.4,18.88,258.08,3101.46,11.35,7,17.88,0,0
FL13852,Boeing 777,14,35414,329,29,SkyConnect,LAS,PHX,256,0.52,Rainy,3,325.03,16.42,18.75,236.79,2954.95,10.83,0,7.49,1,0
FL13853,Airbus A350,10,22932,148,20,AirGlobal,DFW,SEA,1660,3.88,Clear,1,340.0,34.71,18.58,1489.58,2877.42,10.59,8,2.87,0,0
FL13854,Airbus A320,7,7583,293,45,AirGlobal,JFK,LAX,2475,4.88,Rainy,3,314.78,32.9,17.16,2522.67,2993.86,10.76,6,14.8,1,1
FL13855,Airbus A320,1,12731,494,45,Continental Express,JFK,LAX,2475,5.35,Clear,1,337.56,28.45,23.35,2285.78,3004.27,10.94,6,17.24,0,0
FL13856,Boeing 737,19,4531,453,12,SkyConnect,JFK,LAX,2475,4.69,Stormy,5,300.77,28.94,17.64,2111.1,3150.23,11.17,7,12.62,1,1
FL13857,Boeing 737,14,15717,447,23,AirGlobal,ATL,DEN,1199,2.51,Cloudy,2,324.11,34.67,22.55,1634.09,3164.0,10.87,1,19.2,0,0
FL13858,Airbus A350,7,10823,213,48,SkyConnect,MIA,BOS,1258,2.34,Stormy,5,295.66,43.06,14.06,1611.32,3104.94,10.53,5,21.71,0,0
FL13859,Boeing 737,4,32713,362,38,OceanAir,LAS,PHX,256,0.66,Clear,1,319.75,30.95,20.19,307.72,3164.19,10.81,8,7.04,0,0
FL13860,Boeing 787,3,37059,494,23,SkyConnect,MIA,BOS,1258,2.77,Clear,1,322.5,27.45,26.05,1180.36,3177.3,11.3,5,18.18,0,0
FL13861,Airbus A320,8,14163,285,47,PacificWings,IAH,MCO,848,1.27,Clear,1,318.93,31.77,20.62,976.87,2917.38,10.53,5,7.72,0,0
FL13862,Airbus A350,3,14049,404,33,AirGlobal,ORD,SFO,1846,3.59,Foggy,4,327.91,28.39,16.5,2337.51,2864.42,11.39,4,2.37,0,0
FL13863,Boeing 737,22,26888,166,6,OceanAir,DFW,SEA,1660,3.51,Clear,1,312.84,28.84,21.73,1549.04,2974.44,10.7,5,20.3,0,0
FL13864,Airbus A350,7,46334,25,45,OceanAir,DFW,SEA,1660,3.04,Clear,1,307.91,36.56,21.69,2084.52,3155.25,11.46,4,18.73,0,0
FL13865,Airbus A350,8,33922,92,32,OceanAir,LAS,PHX,256,-0.05,Clear,1,322.72,38.38,22.31,238.46,2963.97,11.18,6,4.2,0,0
FL13866,Boeing 787,3,5921,447,40,OceanAir,DFW,SEA,1660,3.25,Clear,1,322.91,25.73,18.53,2128.1,3009.56,11.45,1,22.61,0,0
FL13867,Boeing 787,8,46435,370,13,OceanAir,LAS,PHX,256,0.69,Foggy,4,332.15,29.22,26.82,295.3,3015.04,10.79,5,7.28,0,0
FL13868,Boeing 787,3,2158,189,16,PacificWings,ORD,SFO,1846,3.28,Rainy,3,294.85,36.63,7.86,2452.26,3063.84,10.9,3,19.34,0,0
FL13869,Boeing 737,23,5754,190,12,OceanAir,IAH,MCO,848,1.45,Clear,1,286.86,46.0,15.65,1213.18,2985.92,11.25,1,11.71,0,0
FL13870,Boeing 787,6,30260,75,29,Continental Express,MIA,BOS,1258,2.18,Clear,1,298.39,32.89,15.35,1123.82,2885.79,10.51,1,22.21,1,0
FL13871,Boeing 737,23,37370,122,18,SkyConnect,ATL,DEN,1199,2.15,Clear,1,315.07,30.47,18.63,1013.47,3085.71,11.13,1,18.28,0,0
FL13872,Boeing 787,11,15440,43,37,SkyConnect,MIA,BOS,1258,2.55,Cloudy,2,274.09,45.09,11.31,1586.09,3145.69,10.51,5,24.83,0,0
FL13873,Boeing 787,11,43530,148,43,SkyConnect,ORD,SFO,1846,3.49,Clear,1,327.78,31.63,22.32,2038.52,2924.1,10.78,5,3.87,0,0
FL13874,Boeing 777,14,8010,25,36,SkyConnect,JFK,LAX,2475,5.13,Cloudy,2,288.2,40.88,10.72,3414.54,2963.41,11.38,8,23.42,0,0
FL13875,Airbus A320,6,21426,218,19,Continental Express,DCA,SAN,2279,4.76,Foggy,4,332.06,32.92,18.32,2931.39,3065.92,10.7,9,4.97,0,0
FL13876,Boeing 737,4,45797,59,6,AirGlobal,DCA,SAN,2279,4.27,Stormy,5,313.66,25.48,16.83,1921.74,3101.09,11.06,9,20.24,0,0
FL13877,Boeing 737,14,24499,3,26,OceanAir,MIA,BOS,1258,2.85,Clear,1,305.24,30.62,15.39,1621.37,3034.76,11.06,9,9.47,0,0
FL13878,Boeing 787,5,4762,155,16,Continental Express,MIA,BOS,1258,2.72,Stormy,5,307.9,37.98,13.16,1726.08,3075.56,11.03,4,13.47,0,0
FL13879,Boeing 737,5,43932,392,39,AirGlobal,MIA,BOS,1258,2.93,Foggy,4,340.0,22.59,22.86,1607.5,2805.33,11.07,7,18.55,0,1
FL13880,Boeing 787,6,26250,102,38,Continental Express,DCA,SAN,2279,4.3,Cloudy,2,305.28,32.55,18.28,2394.67,2854.7,11.21,9,9.16,0,0
FL13881,Boeing 737,22,32404,321,38,Continental Express,IAH,MCO,848,2.11,Cloudy,2,340.0,27.92,22.29,812.16,2996.42,11.34,7,21.4,0,0
FL13882,Airbus A350,2,29209,285,22,AirGlobal,DFW,SEA,1660,3.07,Rainy,3,322.41,34.37,18.36,1391.27,3093.6,10.9,3,3.2,0,0
FL13883,Airbus A320,20,2437,121,29,Continental Express,ATL,DEN,1199,2.88,Clear,1,306.16,45.32,15.01,1657.45,2816.66,11.2,5,16.22,0,1
FL13884,Airbus A350,4,5000,410,25,PacificWings,JFK,LAX,2475,5.19,Clear,1,316.75,27.99,17.01,3678.91,2870.67,10.98,7,5.27,0,0
FL13885,Boeing 777,9,11001,254,6,AirGlobal,LAS,PHX,256,0.73,Clear,1,299.14,39.67,16.52,257.84,2832.56,11.05,1,24.94,0,0
FL13886,Boeing 737,3,46132,290,23,PacificWings,LAS,PHX,256,0.71,Foggy,4,338.58,27.26,25.69,354.49,2948.78,10.85,7,6.58,0,0
FL13887,Boeing 777,1,30893,423,32,PacificWings,DFW,SEA,1660,3.66,Clear,1,340.0,27.52,22.42,2010.25,3138.89,10.92,3,8.92,0,0
FL13888,Boeing 737,6,6516,357,24,OceanAir,IAH,MCO,848,1.46,Cloudy,2,286.56,37.03,18.02,953.34,2915.67,10.82,1,15.05,0,0
FL13889,Airbus A350,4,27955,168,39,AirGlobal,ORD,SFO,1846,3.58,Cloudy,2,299.2,22.49,14.09,2405.67,2821.8,10.97,0,20.57,0,0
FL13890,Boeing 787,6,9921,244,43,Continental Express,MIA,BOS,1258,2.17,Clear,1,320.35,30.63,14.79,1147.87,2859.36,11.02,5,15.59,0,0
FL13891,Boeing 787,0,30125,363,14,Continental Express,IAH,MCO,848,1.66,Rainy,3,323.6,26.68,17.31,937.05,3150.39,10.98,6,9.59,0,0
FL13892,Boeing 787,7,35962,229,32,PacificWings,MIA,BOS,1258,2.2,Rainy,3,336.58,27.36,21.83,1669.97,3143.02,11.09,0,22.22,0,0
FL13893,Airbus A320,14,22213,195,32,Continental Express,DCA,SAN,2279,4.77,Clear,1,308.65,32.06,22.68,1932.7,2856.06,10.7,1,8.56,0,0
FL13894,Airbus A320,3,37062,210,13,SkyConnect,JFK,LAX,2475,5.06,Clear,1,306.04,30.92,24.43,2705.93,3010.49,10.93,0,16.71,0,0
FL13895,Boeing 777,29,33228,75,8,OceanAir,ORD,SFO,1846,3.7,Rainy,3,272.93,36.4,19.58,2598.3,2990.43,11.28,6,10.28,0,0
FL13896,Airbus A320,17,40711,303,25,PacificWings,MIA,BOS,1258,1.92,Clear,1,340.0,20.95,21.39,1165.59,3030.95,10.52,9,11.82,0,0
FL13897,Boeing 777,29,31491,114,24,PacificWings,IAH,MCO,848,1.11,Rainy,3,305.07,32.26,16.46,803.21,2947.26,10.7,6,21.63,0,0
FL13898,Boeing 737,19,28587,39,44,PacificWings,MIA,BOS,1258,2.69,Cloudy,2,296.97,40.46,20.12,1355.71,3048.08,10.73,6,3.5,0,0
FL13899,Boeing 777,3,14248,114,12,OceanAir,MIA,BOS,1258,2.66,Rainy,3,315.49,39.92,16.12,1419.28,2965.82,11.4,8,12.21,0,0
FL13900,Boeing 787,0,39281,473,32,AirGlobal,ORD,SFO,1846,3.31,Cloudy,2,339.68,25.35,20.8,2441.73,3149.44,11.08,3,13.25,0,0
FL13901,Boeing 777,12,35301,59,21,PacificWings,LAS,PHX,256,0.43,Clear,1,284.34,32.33,18.29,381.63,3008.53,10.52,8,2.38,0,0
FL13902,Boeing 777,12,20463,453,47,SkyConnect,DCA,SAN,2279,4.83,Clear,1,330.84,26.03,22.59,3378.73,2899.13,10.98,9,20.57,0,0
FL13903,Airbus A350,10,39857,222,13,AirGlobal,DCA,SAN,2279,4.73,Clear,1,338.87,23.63,19.16,2036.05,3084.85,11.03,7,23.53,0,0
FL13904,Boeing 737,25,30304,99,9,Continental Express,JFK,LAX,2475,4.76,Clear,1,312.49,30.74,18.92,2664.45,2909.4,10.55,0,19.64,0,0
FL13905,Boeing 777,25,16371,37,46,Continental Express,DFW,SEA,1660,2.88,Clear,1,328.09,28.1,13.96,2339.6,2829.22,10.53,9,20.64,0,1
FL13906,Airbus A350,1,2197,105,33,AirGlobal,ORD,SFO,1846,3.48,Cloudy,2,274.36,40.15,14.93,1891.17,3112.72,10.52,2,3.83,0,0
FL13907,Boeing 777,5,36771,291,15,PacificWings,LAS,PHX,256,0.48,Cloudy,2,299.32,28.95,20.75,307.8,2935.25,10.71,2,24.02,0,0
FL13908,Boeing 737,19,18498,296,7,Continental Express,ATL,DEN,1199,2.65,Cloudy,2,336.5,24.99,19.48,1293.19,2991.24,11.08,4,18.77,0,0
FL13909,Boeing 777,28,5915,142,32,OceanAir,MIA,BOS,1258,2.01,Clear,1,290.27,31.56,15.61,1236.84,2997.9,10.88,0,22.73,0,0
FL13910,Airbus A350,5,37229,382,31,SkyConnect,DFW,SEA,1660,3.19,Cloudy,2,332.49,28.07,16.11,2220.58,3134.41,10.83,8,21.99,1,1
FL13911,Airbus A320,9,20892,294,29,SkyConnect,JFK,LAX,2475,4.56,Cloudy,2,317.51,30.54,21.21,2288.49,3030.62,11.33,2,4.39,0,0
FL13912,Airbus A320,8,36675,422,22,AirGlobal,JFK,LAX,2475,5.01,Clear,1,340.0,29.06,18.68,2531.99,3072.85,11.28,8,17.62,1,1
FL13913,Airbus A320,2,37965,271,7,PacificWings,DCA,SAN,2279,4.51,Cloudy,2,307.05,28.42,22.96,2645.73,3136.04,11.09,4,9.36,1,0
FL13914,Boeing 787,1,12115,496,18,OceanAir,JFK,LAX,2475,5.01,Clear,1,336.36,27.8,21.5,2394.95,2999.26,11.16,6,2.51,0,0
FL13915,Boeing 787,5,26987,34,30,SkyConnect,JFK,LAX,2475,5.22,Clear,1,325.28,39.17,24.93,2601.36,2862.44,10.87,9,11.85,0,0
FL13916,Boeing 777,4,25682,5,20,OceanAir,JFK,LAX,2475,4.75,Cloudy,2,310.79,40.33,9.64,2812.79,2952.62,11.14,2,19.73,0,0
FL13917,Boeing 777,8,10339,39,35,PacificWings,JFK,LAX,2475,4.77,Cloudy,2,288.6,37.4,10.05,2115.71,2993.52,10.53,8,16.41,0,0
FL13918,Boeing 787,3,43332,236,47,SkyConnect,LAS,PHX,256,0.65,Clear,1,312.77,32.84,22.55,382.3,3181.69,11.21,1,3.01,0,0
FL13919,Boeing 737,19,25646,497,8,AirGlobal,DCA,SAN,2279,4.38,Clear,1,340.0,21.87,24.75,2760.7,3001.98,11.15,7,14.36,0,0
FL13920,Boeing 737,9,13689,377,11,PacificWings,ORD,SFO,1846,3.4,Clear,1,323.48,34.64,19.46,1970.19,3199.88,10.64,9,22.13,0,0
FL13921,Airbus A320,17,40012,168,6,SkyConnect,LAS,PHX,256,0.74,Cloudy,2,310.31,29.94,24.2,350.15,3160.81,11.25,1,5.93,0,0
FL13922,Boeing 787,0,7214,85,14,OceanAir,IAH,MCO,848,1.98,Clear,1,251.0,47.18,16.45,1251.11,2853.35,10.53,1,11.72,0,0
FL13923,Boeing 737,22,39685,456,16,Continental Express,MIA,BOS,1258,3.09,Clear,1,326.75,19.2,22.29,1423.74,2886.57,10.75,4,11.09,0,0
FL13924,Airbus A320,3,41566,34,12,AirGlobal,LAS,PHX,256,0.22,Clear,1,337.51,29.26,13.29,359.21,3115.44,11.44,3,3.41,0,1
FL13925,Boeing 787,6,24790,250,44,OceanAir,LAS,PHX,256,0.64,Rainy,3,335.68,31.48,16.99,232.78,2858.15,10.67,6,17.96,0,0
FL13926,Airbus A350,2,19267,475,18,OceanAir,DCA,SAN,2279,4.49,Clear,1,309.31,28.11,20.56,2530.67,3075.16,10.68,3,23.85,0,0
FL13927,Boeing 777,24,25719,85,41,PacificWings,JFK,LAX,2475,5.03,Clear,1,308.9,41.7,12.64,3683.02,2910.31,11.26,0,22.4,0,0
FL13928,Airbus A320,2,2884,118,26,OceanAir,JFK,LAX,2475,4.63,Cloudy,2,299.08,42.0,16.08,2795.81,3197.39,10.52,4,3.32,0,0
FL13929,Boeing 777,1,23860,49,46,SkyConnect,JFK,LAX,2475,4.5,Rainy,3,302.91,35.35,18.82,3121.05,2808.69,10.79,6,9.13,0,0
FL13930,Boeing 737,14,13788,360,6,PacificWings,DFW,SEA,1660,3.76,Rainy,3,319.19,28.91,19.44,1331.47,2876.76,10.69,6,18.54,0,1
FL13931,Boeing 777,8,26874,424,44,PacificWings,LAS,PHX,256,0.45,Rainy,3,325.15,30.23,25.33,352.86,3000.33,10.74,8,21.74,0,1
FL13932,Airbus A320,16,38298,198,36,Continental Express,JFK,LAX,2475,5.42,Rainy,3,320.65,30.56,17.23,2603.94,3018.56,10.59,1,24.01,0,0
FL13933,Airbus A320,16,17758,248,27,Continental Express,ORD,SFO,1846,3.77,Cloudy,2,301.06,28.43,20.46,2552.28,3178.11,11.38,9,22.96,0,0
FL13934,Boeing 737,8,34217,429,5,SkyConnect,IAH,MCO,848,1.42,Clear,1,326.22,32.54,21.09,1224.57,2881.61,11.37,6,6.24,0,0
FL13935,Boeing 787,7,29580,208,33,AirGlobal,JFK,LAX,2475,5.32,Stormy,5,337.37,26.22,14.43,3446.2,3191.43,10.53,5,17.29,0,0
FL13936,Boeing 787,0,26764,271,6,Continental Express,DCA,SAN,2279,4.64,Rainy,3,301.83,31.31,20.93,2215.13,2847.53,11.3,7,11.68,1,0
FL13937,Boeing 777,6,29063,373,27,OceanAir,DFW,SEA,1660,3.49,Clear,1,337.04,24.8,23.64,1488.15,3008.76,11.07,3,12.98,0,0
FL13938,Boeing 787,11,49101,169,16,OceanAir,DFW,SEA,1660,3.01,Clear,1,336.48,31.75,16.72,2396.2,2866.39,10.69,9,5.36,0,0
FL13939,Boeing 777,29,20576,154,42,SkyConnect,LAS,PHX,256,0.37,Clear,1,280.44,37.63,17.97,324.44,3035.98,10.65,4,5.93,0,0
FL13940,Airbus A320,3,49811,418,10,Continental Express,LAS,PHX,256,0.72,Clear,1,340.0,24.03,26.23,307.2,2929.9,10.65,4,22.52,1,0
FL13941,Boeing 737,23,31052,453,44,SkyConnect,DCA,SAN,2279,4.52,Clear,1,327.88,28.65,26.91,3060.92,3199.37,11.43,5,14.63,0,0
FL13942,Airbus A350,5,16115,294,23,OceanAir,ORD,SFO,1846,4.05,Clear,1,317.08,28.5,14.74,1569.69,2932.14,11.19,0,8.31,1,1
FL13943,Boeing 777,13,13538,280,26,PacificWings,ORD,SFO,1846,3.18,Foggy,4,295.01,27.09,17.85,2087.01,3007.47,11.49,9,18.73,0,0
FL13944,Boeing 777,5,26837,356,46,Continental Express,DFW,SEA,1660,2.79,Foggy,4,322.07,25.19,24.65,1540.89,2870.81,10.98,8,5.12,0,0
FL13945,Airbus A350,5,46334,151,10,Continental Express,DFW,SEA,1660,2.88,Clear,1,322.66,28.87,21.6,1424.27,2865.98,10.82,3,18.19,0,0
FL13946,Boeing 787,12,36925,139,24,SkyConnect,DFW,SEA,1660,3.54,Clear,1,286.78,29.25,20.14,2364.97,3034.75,10.51,2,22.64,0,0
FL13947,Airbus A350,8,9973,489,13,PacificWings,ATL,DEN,1199,2.63,Clear,1,305.86,25.5,17.18,1702.23,3122.87,10.66,9,12.75,1,1
FL13948,Boeing 787,7,25957,360,46,OceanAir,MIA,BOS,1258,2.2,Clear,1,340.0,34.74,17.92,1277.96,2805.6,10.87,7,4.38,1,1
FL13949,Boeing 777,4,4021,457,30,OceanAir,ORD,SFO,1846,3.43,Clear,1,287.52,37.66,16.4,2014.38,3057.79,11.33,1,4.76,1,0
FL13950,Boeing 737,24,19440,423,5,Continental Express,IAH,MCO,848,1.55,Clear,1,301.73,24.42,22.71,752.08,3197.82,10.95,7,15.51,1,0
FL13951,Boeing 787,0,15328,249,49,SkyConnect,DCA,SAN,2279,4.66,Clear,1,320.49,30.86,13.39,2540.63,3099.99,11.42,8,23.59,0,1
FL13952,Airbus A320,20,10675,499,20,SkyConnect,DCA,SAN,2279,4.6,Clear,1,333.77,23.8,19.52,3416.58,3063.13,10.78,5,19.34,0,0
FL13953,Boeing 737,2,19026,345,5,SkyConnect,ORD,SFO,1846,3.75,Stormy,5,332.41,31.62,20.09,2660.93,2946.15,10.76,7,12.39,0,0
FL13954,Airbus A350,3,30048,233,5,OceanAir,DCA,SAN,2279,4.59,Clear,1,333.8,32.87,21.81,3033.25,3063.39,10.56,9,8.58,0,0
FL13955,Boeing 737,8,6648,140,5,SkyConnect,JFK,LAX,2475,5.06,Clear,1,312.72,44.26,12.97,3637.71,3171.87,10.77,3,7.94,0,1
FL13956,Airbus A350,3,22848,489,39,AirGlobal,ATL,DEN,1199,2.04,Clear,1,340.0,35.09,24.98,1009.28,3109.16,11.11,2,18.15,0,0
FL13957,Boeing 737,7,22145,363,38,SkyConnect,IAH,MCO,848,1.97,Clear,1,326.04,32.03,19.58,1266.99,3071.66,10.67,7,6.87,0,1
FL13958,Airbus A350,10,12649,245,33,OceanAir,ATL,DEN,1199,2.45,Foggy,4,321.97,39.88,17.98,1564.28,3112.37,11.14,9,12.03,0,0
FL13959,Airbus A350,5,42907,226,7,PacificWings,DFW,SEA,1660,3.6,Clear,1,340.0,29.86,22.51,1548.19,3161.2,10.83,8,9.34,0,0
FL13960,Boeing 777,4,24517,141,44,AirGlobal,LAS,PHX,256,0.55,Clear,1,297.06,36.87,21.4,275.85,2801.87,10.97,7,7.61,0,0
FL13961,Boeing 777,22,2948,219,15,PacificWings,ORD,SFO,1846,4.19,Stormy,5,310.01,38.72,18.5,2353.28,3041.59,11.37,9,23.96,0,1
FL13962,Boeing 737,10,34403,382,24,AirGlobal,LAS,PHX,256,0.5,Rainy,3,327.28,22.09,16.39,232.91,2938.44,11.47,1,19.02,0,0
FL13963,Airbus A350,3,32481,21,49,Continental Express,DCA,SAN,2279,4.67,Clear,1,307.74,34.52,18.67,3025.16,3018.18,10.7,6,3.61,0,0
FL13964,Airbus A350,9,13785,313,36,OceanAir,DCA,SAN,2279,4.42,Clear,1,306.73,38.93,21.75,2029.53,3089.77,10.85,4,14.35,1,1
FL13965,Airbus A320,15,17097,121,8,SkyConnect,ORD,SFO,1846,3.03,Clear,1,319.55,40.9,13.15,1485.09,2911.03,10.61,1,16.67,0,0
FL13966,Airbus A320,17,40667,434,18,AirGlobal,LAS,PHX,256,0.77,Clear,1,320.83,26.27,22.58,273.43,3167.35,10.81,3,7.97,0,0
FL13967,Airbus A350,1,38065,263,42,Continental Express,LAS,PHX,256,0.41,Rainy,3,314.68,34.27,24.32,382.89,2934.77,11.02,2,18.0,0,0
FL13968,Airbus A350,3,30606,306,34,SkyConnect,MIA,BOS,1258,2.44,Stormy,5,276.42,28.34,18.31,1132.88,3094.12,11.47,0,18.64,1,1
FL13969,Boeing 737,23,3151,177,41,SkyConnect,MIA,BOS,1258,2.42,Rainy,3,287.45,45.94,16.18,1460.86,2893.18,10.54,4,7.45,0,0
FL13970,Airbus A350,3,28755,2,47,OceanAir,JFK,LAX,2475,4.62,Cloudy,2,294.68,36.74,18.48,2636.36,3052.86,11.15,7,20.14,0,0
FL13971,Boeing 787,10,36763,146,21,PacificWings,IAH,MCO,848,1.37,Foggy,4,331.36,44.09,21.94,890.01,3014.69,11.25,3,11.2,1,0
FL13972,Boeing 777,20,33765,290,17,OceanAir,IAH,MCO,848,1.73,Cloudy,2,320.22,32.41,20.53,1119.08,2815.45,11.04,7,24.05,0,0
FL13973,Boeing 777,4,36324,277,7,SkyConnect,ATL,DEN,1199,1.88,Cloudy,2,324.97,23.02,17.0,1560.95,2989.82,10.79,0,5.8,0,0
FL13974,Boeing 737,0,25750,433,8,SkyConnect,IAH,MCO,848,1.66,Clear,1,332.92,19.1,19.03,769.64,2940.99,11.04,0,2.27,0,0
FL13975,Boeing 787,0,7953,263,46,OceanAir,LAS,PHX,256,0.18,Stormy,5,297.13,39.4,15.5,267.76,3022.59,10.69,3,7.77,0,0
FL13976,Boeing 737,4,4692,334,45,OceanAir,MIA,BOS,1258,2.24,Cloudy,2,317.74,27.13,14.56,1442.94,3180.81,11.45,8,6.88,0,0
FL13977,Airbus A320,17,5833,46,9,AirGlobal,MIA,BOS,1258,2.77,Rainy,3,278.2,44.02,7.8,1036.98,2830.96,11.46,0,13.11,0,0
FL13978,Boeing 777,29,42414,183,18,Continental Express,DCA,SAN,2279,4.67,Clear,1,299.83,24.23,16.79,2333.3,2838.06,10.55,1,3.72,0,0
FL13979,Airbus A320,1,41452,174,17,SkyConnect,MIA,BOS,1258,2.03,Stormy,5,291.73,31.86,16.19,1287.93,2849.44,10.89,7,11.97,1,0
FL13980,Boeing 777,7,19679,475,48,PacificWings,ORD,SFO,1846,3.16,Rainy,3,318.12,30.97,25.08,2309.52,2905.78,10.6,7,16.11,0,0
FL13981,Airbus A320,11,43757,247,45,OceanAir,ATL,DEN,1199,2.51,Clear,1,316.45,26.59,23.39,1084.77,2856.65,11.15,8,10.24,0,1
FL13982,Boeing 737,25,29306,281,43,SkyConnect,ATL,DEN,1199,2.33,Clear,1,308.21,31.72,18.73,1450.22,2924.58,10.75,0,7.64,0,0
FL13983,Boeing 737,2,9521,369,20,PacificWings,JFK,LAX,2475,4.5,Cloudy,2,298.48,30.38,14.65,2127.67,2950.41,10.56,1,16.86,0,1
FL13984,Boeing 787,3,20439,358,46,PacificWings,DFW,SEA,1660,3.52,Cloudy,2,340.0,30.95,18.93,2153.69,2819.09,10.78,6,11.51,0,0
FL13985,Boeing 737,5,46720,387,17,Continental Express,JFK,LAX,2475,4.54,Clear,1,335.79,28.33,25.97,2319.05,2927.6,11.46,7,3.12,0,0
FL13986,Boeing 777,24,34866,485,8,SkyConnect,MIA,BOS,1258,2.58,Cloudy,2,340.0,19.55,28.32,1724.82,2884.75,10.71,3,21.28,0,0
FL13987,Boeing 787,7,45553,5,41,Continental Express,DCA,SAN,2279,4.1,Cloudy,2,322.96,36.27,17.52,2215.29,2975.74,11.48,4,19.94,0,0
FL13988,Boeing 787,12,37834,303,24,SkyConnect,DCA,SAN,2279,4.71,Cloudy,2,318.91,24.62,22.01,2283.54,2935.21,10.82,3,7.91,0,0
FL13989,Boeing 777,20,36522,139,15,AirGlobal,ORD,SFO,1846,3.52,Clear,1,332.93,30.76,16.14,1909.05,2952.33,10.93,2,2.07,0,0
FL13990,Airbus A350,9,7820,340,46,Continental Express,DCA,SAN,2279,4.54,Cloudy,2,316.73,34.45,10.43,2034.72,3076.07,11.1,1,24.62,1,1
FL13991,Boeing 777,15,49183,104,17,AirGlobal,ATL,DEN,1199,2.28,Rainy,3,329.96,26.38,18.84,1322.24,3159.48,10.53,3,14.8,1,1
FL13992,Boeing 777,25,41140,150,28,AirGlobal,LAS,PHX,256,0.72,Clear,1,317.29,28.93,15.72,232.46,3082.33,11.33,5,19.87,0,0
FL13993,Boeing 737,15,47888,86,29,SkyConnect,ORD,SFO,1846,3.68,Clear,1,307.17,32.42,19.03,2293.21,2919.0,11.13,0,22.5,1,1
FL13994,Boeing 777,18,47075,159,6,SkyConnect,LAS,PHX,256,0.98,Clear,1,327.71,27.04,20.61,251.4,3066.22,10.67,9,19.19,0,0
FL13995,Boeing 777,18,14966,137,40,Continental Express,ORD,SFO,1846,3.6,Clear,1,312.23,44.23,9.92,2758.9,3182.45,11.42,4,24.79,0,0
FL13996,Boeing 777,26,1243,221,11,AirGlobal,IAH,MCO,848,1.56,Clear,1,313.93,29.63,14.44,815.13,3118.94,11.11,0,16.31,0,0
FL13997,Boeing 737,7,46567,168,9,PacificWings,LAS,PHX,256,-0.03,Cloudy,2,340.0,34.13,21.07,210.51,2865.59,11.42,0,3.08,0,0
FL13998,Airbus A320,7,36581,421,18,PacificWings,JFK,LAX,2475,5.49,Cloudy,2,340.0,29.11,20.16,3337.03,3141.68,11.45,5,18.41,1,0
FL13999,Boeing 737,24,18588,214,20,SkyConnect,ATL,DEN,1199,2.61,Cloudy,2,322.9,37.01,18.82,1318.88,2867.07,10.88,4,15.86,1,0
FL14000,Boeing 787,7,39217,399,16,Continental Express,DFW,SEA,1660,3.09,Foggy,4,318.82,39.54,23.82,1659.68,2966.41,11.0,1,19.59,0,0
FL14001,Airbus A320,20,15859,106,28,OceanAir,DCA,SAN,2279,4.38,Stormy,5,320.96,36.9,13.26,2795.24,2924.96,10.6,6,11.63,0,0
FL14002,Airbus A320,5,33265,335,19,Continental Express,ATL,DEN,1199,2.27,Cloudy,2,322.94,26.27,20.4,1731.78,2830.06,10.66,7,19.72,0,0
FL14003,Airbus A350,0,37124,422,17,OceanAir,ATL,DEN,1199,2.02,Cloudy,2,340.0,29.31,28.01,1744.39,3117.45,11.32,1,11.24,0,0
